Model Name,Column Name,Transaction Value (Count or Avg),Transcation Month (YYYY|MM),IsAnAnomaly,Snapshot Month (YYYYMM)
TABLE_1,Column_756,326027.94,2017|12,NA,202103
TABLE_1,Column_756,433782.56,2018|01,NA,202103
TABLE_1,Column_756,344684.3,2018|02,NA,202103
TABLE_1,Column_756,354040.97,2018|03,NA,202103
TABLE_1,Column_756,324572.9,2018|04,NA,202103
TABLE_1,Column_756,311909.22,2018|05,NA,202103
TABLE_1,Column_756,359636.97,2018|06,NA,202103
TABLE_1,Column_756,267324.53,2018|07,NA,202103
TABLE_1,Column_756,291977.5,2018|08,NA,202103
TABLE_1,Column_756,296764.97,2018|09,NA,202103
TABLE_1,Column_756,289214.3,2018|10,NA,202103
TABLE_1,Column_756,395873.88,2018|11,NA,202103
TABLE_1,Column_756,416018.16,2018|12,NA,202103
TABLE_1,Column_756,257142.88,2019|01,NA,202103
TABLE_1,Column_756,220692.55,2019|02,NA,202103
TABLE_1,Column_756,327801.7,2019|03,NA,202103
TABLE_1,Column_756,464744.66,2019|04,NA,202103
TABLE_1,Column_756,491171.94,2019|05,NA,202103
TABLE_1,Column_756,363706.12,2019|06,NA,202103
TABLE_1,Column_756,356843.72,2019|07,NA,202103
TABLE_1,Column_756,328335.47,2019|08,NA,202103
TABLE_1,Column_756,323420.88,2019|09,NA,202103
TABLE_1,Column_756,401148.94,2019|10,NA,202103
TABLE_1,Column_756,380796.84,2019|11,NA,202103
TABLE_1,Column_756,311098.4738,2019|12,NA,202103
TABLE_1,Column_756,221028.52,2020|01,NA,202103
TABLE_1,Column_756,279482.1,2020|02,NA,202103
TABLE_1,Column_756,218035.94,2020|03,NA,202103
TABLE_1,Column_756,152727.98,2020|04,NA,202103
TABLE_1,Column_756,310576.1,2020|05,NA,202103
TABLE_1,Column_756,247350.275,2020|06,NA,202103
TABLE_1,Column_756,242329.02,2020|07,NA,202103
TABLE_1,Column_756,244823.3,2020|08,NA,202103
TABLE_1,Column_756,196292.906,2020|09,NA,202103
TABLE_1,Column_756,296006.4375,2020|10,NA,202103
TABLE_1,Column_756,217774.651,2020|11,NA,202103
TABLE_1,Column_756,238795.7,2020|12,NA,202103
TABLE_1,Column_756,0,2021|01,NA,202103
TABLE_1,Column_756,519761.38,2015|12,NA,202102
TABLE_1,Column_756,528349.7,2016|01,NA,202102
TABLE_1,Column_756,428838.84,2016|02,NA,202102
TABLE_1,Column_756,569641.2,2016|03,NA,202102
TABLE_1,Column_756,446080.47,2016|04,NA,202102
TABLE_1,Column_756,498157.66,2016|05,NA,202102
TABLE_1,Column_756,521634.1,2016|06,NA,202102
TABLE_1,Column_756,358430.38,2016|07,NA,202102
TABLE_1,Column_756,504529.25,2016|08,NA,202102
TABLE_1,Column_756,474050.28,2016|09,NA,202102
TABLE_1,Column_756,444273.6,2016|10,NA,202102
TABLE_1,Column_756,511913.3,2016|11,NA,202102
TABLE_1,Column_756,480305.8,2016|12,NA,202102
TABLE_1,Column_756,382137.88,2017|01,NA,202102
TABLE_1,Column_756,292426.16,2017|02,NA,202102
TABLE_1,Column_756,385666.88,2017|03,NA,202102
TABLE_1,Column_756,359671.06,2017|04,NA,202102
TABLE_1,Column_756,413768.4,2017|05,NA,202102
TABLE_1,Column_756,342422.7,2017|06,NA,202102
TABLE_1,Column_756,335090.62,2017|07,NA,202102
TABLE_1,Column_756,371793.4,2017|08,NA,202102
TABLE_1,Column_756,347227.6,2017|09,NA,202102
TABLE_1,Column_756,338267.12,2017|10,NA,202102
TABLE_1,Column_756,586275.75,2017|11,NA,202102
TABLE_1,Column_756,326027.94,2017|12,NA,202102
TABLE_1,Column_756,433782.56,2018|01,NA,202102
TABLE_1,Column_756,344684.3,2018|02,NA,202102
TABLE_1,Column_756,354040.97,2018|03,NA,202102
TABLE_1,Column_756,324572.9,2018|04,NA,202102
TABLE_1,Column_756,311909.22,2018|05,NA,202102
TABLE_1,Column_756,359636.97,2018|06,NA,202102
TABLE_1,Column_756,267324.53,2018|07,NA,202102
TABLE_1,Column_756,291977.5,2018|08,NA,202102
TABLE_1,Column_756,296764.97,2018|09,NA,202102
TABLE_1,Column_756,289214.3,2018|10,NA,202102
TABLE_1,Column_756,395873.88,2018|11,NA,202102
TABLE_1,Column_756,416018.16,2018|12,NA,202102
TABLE_1,Column_756,257142.88,2019|01,NA,202102
TABLE_1,Column_756,220692.55,2019|02,NA,202102
TABLE_1,Column_756,327801.7,2019|03,NA,202102
TABLE_1,Column_756,464744.66,2019|04,NA,202102
TABLE_1,Column_756,491167.94,2019|05,NA,202102
TABLE_1,Column_756,363706.12,2019|06,NA,202102
TABLE_1,Column_756,356843.72,2019|07,NA,202102
TABLE_1,Column_756,328335.47,2019|08,NA,202102
TABLE_1,Column_756,323420.88,2019|09,NA,202102
TABLE_1,Column_756,401148.94,2019|10,NA,202102
TABLE_1,Column_756,380796.8425,2019|11,NA,202102
TABLE_1,Column_756,310731.38,2019|12,NA,202102
TABLE_1,Column_756,221028.52,2020|01,NA,202102
TABLE_1,Column_756,279018.1,2020|02,NA,202102
TABLE_1,Column_756,217835.94,2020|03,NA,202102
TABLE_1,Column_756,152727.98,2020|04,NA,202102
TABLE_1,Column_756,310076.1,2020|05,NA,202102
TABLE_1,Column_756,246512.4,2020|06,NA,202102
TABLE_1,Column_756,241531.0156,2020|07,NA,202102
TABLE_1,Column_756,241622.3,2020|08,NA,202102
TABLE_1,Column_756,187075.5,2020|09,NA,202102
TABLE_1,Column_756,288304.254,2020|10,NA,202102
TABLE_1,Column_756,186719.63,2020|11,NA,202102
TABLE_1,Column_756,68918.17,2020|12,NA,202102
TABLE_1,Column_802,392577.8,2016|02,NO,202104
TABLE_1,Column_802,397227.88,2016|03,NO,202104
TABLE_1,Column_802,400286.4,2016|04,NO,202104
TABLE_1,Column_802,571068.4,2016|05,NO,202104
TABLE_1,Column_802,507629.8,2016|06,NO,202104
TABLE_1,Column_802,472205.94,2016|07,NO,202104
TABLE_1,Column_802,270154.47,2016|08,NO,202104
TABLE_1,Column_802,192767.45,2016|09,NO,202104
TABLE_1,Column_802,568184.56,2016|10,NO,202104
TABLE_1,Column_802,573720,2016|11,NO,202104
TABLE_1,Column_802,622098,2016|12,NO,202104
TABLE_1,Column_802,590209.3,2017|01,NO,202104
TABLE_1,Column_802,551708,2017|02,NO,202104
TABLE_1,Column_802,697110.4,2017|03,NO,202104
TABLE_1,Column_802,500530.78,2017|04,NO,202104
TABLE_1,Column_802,645325.4,2017|05,NO,202104
TABLE_1,Column_802,476773.16,2017|06,NO,202104
TABLE_1,Column_802,560576.6,2017|07,NO,202104
TABLE_1,Column_802,527636.56,2017|08,NO,202104
TABLE_1,Column_802,455095.28,2017|09,NO,202104
TABLE_1,Column_802,536327.56,2017|10,NO,202104
TABLE_1,Column_802,600446.3,2017|11,NO,202104
TABLE_1,Column_802,589146.75,2017|12,NO,202104
TABLE_1,Column_802,593995.4,2018|01,NO,202104
TABLE_1,Column_802,494979.12,2018|02,NO,202104
TABLE_1,Column_802,594789.95,2018|03,NO,202104
TABLE_1,Column_802,553053.94,2018|04,NO,202104
TABLE_1,Column_802,564518.94,2018|05,NO,202104
TABLE_1,Column_802,428520.7,2018|06,NO,202104
TABLE_1,Column_802,445567.35,2018|07,NO,202104
TABLE_1,Column_802,469757.2,2018|08,NO,202104
TABLE_1,Column_802,691592.3,2018|09,NO,202104
TABLE_1,Column_802,710286.5,2018|10,NO,202104
TABLE_1,Column_802,509741.5,2018|11,NO,202104
TABLE_1,Column_802,457578.28,2018|12,NO,202104
TABLE_1,Column_802,424549.84,2019|01,NO,202104
TABLE_1,Column_802,338226.4,2019|02,NO,202104
TABLE_1,Column_802,337036.6,2019|03,NO,202104
TABLE_1,Column_802,441227.38,2019|04,NO,202104
TABLE_1,Column_802,412184.9,2019|05,NO,202104
TABLE_1,Column_802,240638.513,2019|06,NO,202104
TABLE_1,Column_802,477241.37,2019|07,NO,202104
TABLE_1,Column_802,445757.5962,2019|08,NO,202104
TABLE_1,Column_802,280378.0338,2019|09,NO,202104
TABLE_1,Column_802,328021.7175,2019|10,NO,202104
TABLE_1,Column_802,257511.6594,2019|11,NO,202104
TABLE_1,Column_802,257900.794,2019|12,NO,202104
TABLE_1,Column_802,208445.23,2020|01,NO,202104
TABLE_1,Column_802,204742.94,2020|02,NO,202104
TABLE_1,Column_802,202115.325,2020|03,NO,202104
TABLE_1,Column_802,214158.55,2020|04,NO,202104
TABLE_1,Column_802,117303.75,2020|05,NO,202104
TABLE_1,Column_802,128089.5994,2020|06,NO,202104
TABLE_1,Column_802,177030.19,2020|07,NO,202104
TABLE_1,Column_802,278257.44,2020|08,NO,202104
TABLE_1,Column_802,143415.7362,2020|09,NO,202104
TABLE_1,Column_802,159961.486,2020|10,NO,202104
TABLE_1,Column_802,137869.84,2020|11,NO,202104
TABLE_1,Column_802,132967.092,2020|12,NO,202104
TABLE_1,Column_802,104903.59,2021|01,NO,202104
TABLE_1,Column_802,37219.68,2021|02,NO,202104
TABLE_1,Column_802,396814.8,2016|01,NA,202103
TABLE_1,Column_802,392577.8,2016|02,NA,202103
TABLE_1,Column_802,397227.88,2016|03,NA,202103
TABLE_1,Column_802,400286.4,2016|04,NA,202103
TABLE_1,Column_802,571068.4,2016|05,NA,202103
TABLE_1,Column_802,507629.8,2016|06,NA,202103
TABLE_1,Column_802,472205.94,2016|07,NA,202103
TABLE_1,Column_802,270154.47,2016|08,NA,202103
TABLE_1,Column_802,192767.45,2016|09,NA,202103
TABLE_1,Column_802,568184.56,2016|10,NA,202103
TABLE_1,Column_802,573720,2016|11,NA,202103
TABLE_1,Column_802,622098,2016|12,NA,202103
TABLE_1,Column_802,590209.3,2017|01,NA,202103
TABLE_1,Column_802,551708,2017|02,NA,202103
TABLE_1,Column_802,697110.4,2017|03,NA,202103
TABLE_1,Column_802,500530.78,2017|04,NA,202103
TABLE_1,Column_802,645325.4,2017|05,NA,202103
TABLE_1,Column_802,476773.16,2017|06,NA,202103
TABLE_1,Column_802,560576.6,2017|07,NA,202103
TABLE_1,Column_802,527636.56,2017|08,NA,202103
TABLE_1,Column_802,455095.28,2017|09,NA,202103
TABLE_1,Column_802,536327.56,2017|10,NA,202103
TABLE_1,Column_802,600446.3,2017|11,NA,202103
TABLE_1,Column_802,580244.75,2017|12,NA,202103
TABLE_1,Column_802,596577.4,2018|01,NA,202103
TABLE_1,Column_802,468295.62,2018|02,NA,202103
TABLE_1,Column_802,595295.7,2018|03,NA,202103
TABLE_1,Column_802,558230.4375,2018|04,NA,202103
TABLE_1,Column_802,549103.9125,2018|05,NA,202103
TABLE_1,Column_802,423900.6875,2018|06,NA,202103
TABLE_1,Column_802,430988.1,2018|07,NA,202103
TABLE_1,Column_802,460265.2,2018|08,NA,202103
TABLE_1,Column_802,685937.3125,2018|09,NA,202103
TABLE_1,Column_802,687715.998,2018|10,NA,202103
TABLE_1,Column_802,506731.5125,2018|11,NA,202103
TABLE_1,Column_802,454308.78,2018|12,NA,202103
TABLE_1,Column_802,411008.84,2019|01,NA,202103
TABLE_1,Column_802,334326.4075,2019|02,NA,202103
TABLE_1,Column_802,321170.1,2019|03,NA,202103
TABLE_1,Column_802,434803.8775,2019|04,NA,202103
TABLE_1,Column_802,407411.4125,2019|05,NA,202103
TABLE_1,Column_802,235863.06,2019|06,NA,202103
TABLE_1,Column_802,477373.62,2019|07,NA,202103
TABLE_1,Column_802,439138.442,2019|08,NA,202103
TABLE_1,Column_802,272515.9375,2019|09,NA,202103
TABLE_1,Column_802,335047.529,2019|10,NA,202103
TABLE_1,Column_802,259454.8,2019|11,NA,202103
TABLE_1,Column_802,270206.69,2019|12,NA,202103
TABLE_1,Column_802,203523.241,2020|01,NA,202103
TABLE_1,Column_802,200943.936,2020|02,NA,202103
TABLE_1,Column_802,207729.7,2020|03,NA,202103
TABLE_1,Column_802,202153.55,2020|04,NA,202103
TABLE_1,Column_802,123867.754,2020|05,NA,202103
TABLE_1,Column_802,122109.2397,2020|06,NA,202103
TABLE_1,Column_802,164930.189,2020|07,NA,202103
TABLE_1,Column_802,267545.936,2020|08,NA,202103
TABLE_1,Column_802,140044.0844,2020|09,NA,202103
TABLE_1,Column_802,148039.72,2020|10,NA,202103
TABLE_1,Column_802,105458.842,2020|11,NA,202103
TABLE_1,Column_802,114381.24,2020|12,NA,202103
TABLE_1,Column_802,0,2021|01,NA,202103
TABLE_1,Column_802,425209.28,2015|12,NA,202102
TABLE_1,Column_802,396814.8,2016|01,NA,202102
TABLE_1,Column_802,392577.8,2016|02,NA,202102
TABLE_1,Column_802,397227.88,2016|03,NA,202102
TABLE_1,Column_802,400286.4,2016|04,NA,202102
TABLE_1,Column_802,571068.4,2016|05,NA,202102
TABLE_1,Column_802,507629.8,2016|06,NA,202102
TABLE_1,Column_802,472205.94,2016|07,NA,202102
TABLE_1,Column_802,270154.47,2016|08,NA,202102
TABLE_1,Column_802,192767.45,2016|09,NA,202102
TABLE_1,Column_802,568184.56,2016|10,NA,202102
TABLE_1,Column_802,573720,2016|11,NA,202102
TABLE_1,Column_802,622098,2016|12,NA,202102
TABLE_1,Column_802,590209.3,2017|01,NA,202102
TABLE_1,Column_802,551708,2017|02,NA,202102
TABLE_1,Column_802,697110.4,2017|03,NA,202102
TABLE_1,Column_802,500530.78,2017|04,NA,202102
TABLE_1,Column_802,645325.4,2017|05,NA,202102
TABLE_1,Column_802,476773.16,2017|06,NA,202102
TABLE_1,Column_802,560576.6,2017|07,NA,202102
TABLE_1,Column_802,527636.56,2017|08,NA,202102
TABLE_1,Column_802,455095.28,2017|09,NA,202102
TABLE_1,Column_802,536327.562,2017|10,NA,202102
TABLE_1,Column_802,598487.338,2017|11,NA,202102
TABLE_1,Column_802,563326.248,2017|12,NA,202102
TABLE_1,Column_802,591179.378,2018|01,NA,202102
TABLE_1,Column_802,461876.62,2018|02,NA,202102
TABLE_1,Column_802,583782.712,2018|03,NA,202102
TABLE_1,Column_802,552354.5,2018|04,NA,202102
TABLE_1,Column_802,540031.126,2018|05,NA,202102
TABLE_1,Column_802,412135.738,2018|06,NA,202102
TABLE_1,Column_802,422334.096,2018|07,NA,202102
TABLE_1,Column_802,455665.188,2018|08,NA,202102
TABLE_1,Column_802,675339.25,2018|09,NA,202102
TABLE_1,Column_802,663523.05,2018|10,NA,202102
TABLE_1,Column_802,498346.69,2018|11,NA,202102
TABLE_1,Column_802,447324.78,2018|12,NA,202102
TABLE_1,Column_802,401654.844,2019|01,NA,202102
TABLE_1,Column_802,330092.968,2019|02,NA,202102
TABLE_1,Column_802,313230.09,2019|03,NA,202102
TABLE_1,Column_802,424334.94,2019|04,NA,202102
TABLE_1,Column_802,396866.595,2019|05,NA,202102
TABLE_1,Column_802,228650.06,2019|06,NA,202102
TABLE_1,Column_802,468121.625,2019|07,NA,202102
TABLE_1,Column_802,418396.371,2019|08,NA,202102
TABLE_1,Column_802,266012,2019|09,NA,202102
TABLE_1,Column_802,324928.05,2019|10,NA,202102
TABLE_1,Column_802,238849.794,2019|11,NA,202102
TABLE_1,Column_802,253651.444,2019|12,NA,202102
TABLE_1,Column_802,191164.593,2020|01,NA,202102
TABLE_1,Column_802,183949.277,2020|02,NA,202102
TABLE_1,Column_802,197072.7,2020|03,NA,202102
TABLE_1,Column_802,198075.546,2020|04,NA,202102
TABLE_1,Column_802,114716.155,2020|05,NA,202102
TABLE_1,Column_802,115809.309,2020|06,NA,202102
TABLE_1,Column_802,151800.216,2020|07,NA,202102
TABLE_1,Column_802,197070.176,2020|08,NA,202102
TABLE_1,Column_802,135918.098,2020|09,NA,202102
TABLE_1,Column_802,142250.72,2020|10,NA,202102
TABLE_1,Column_802,101058.6,2020|11,NA,202102
TABLE_1,Column_802,49731.92,2020|12,NA,202102
TABLE_1,Column_826,0,2015|11,NO,202101
TABLE_1,Column_826,0,2015|12,NO,202101
TABLE_1,Column_826,0,2016|01,NO,202101
TABLE_1,Column_826,0,2016|02,NO,202101
TABLE_1,Column_826,0,2016|03,NO,202101
TABLE_1,Column_826,0,2016|04,NO,202101
TABLE_1,Column_826,0,2016|05,NO,202101
TABLE_1,Column_826,0,2016|06,NO,202101
TABLE_1,Column_826,0,2016|07,NO,202101
TABLE_1,Column_826,0,2016|08,NO,202101
TABLE_1,Column_826,0,2016|09,NO,202101
TABLE_1,Column_826,0,2016|10,NO,202101
TABLE_1,Column_826,0,2016|11,NO,202101
TABLE_1,Column_826,0,2016|12,NO,202101
TABLE_1,Column_826,0,2017|01,NO,202101
TABLE_1,Column_826,0,2017|02,NO,202101
TABLE_1,Column_826,0,2017|03,NO,202101
TABLE_1,Column_826,0,2017|04,NO,202101
TABLE_1,Column_826,0,2017|05,NO,202101
TABLE_1,Column_826,0,2017|06,NO,202101
TABLE_1,Column_826,0,2017|07,NO,202101
TABLE_1,Column_826,0,2017|08,NO,202101
TABLE_1,Column_826,0,2017|09,NO,202101
TABLE_1,Column_826,0,2017|10,NO,202101
TABLE_1,Column_826,0,2017|11,NO,202101
TABLE_1,Column_826,0,2017|12,NO,202101
TABLE_1,Column_826,0,2018|01,NO,202101
TABLE_1,Column_826,0,2018|02,NO,202101
TABLE_1,Column_826,0,2018|03,NO,202101
TABLE_1,Column_826,0,2018|04,NO,202101
TABLE_1,Column_826,0,2018|05,NO,202101
TABLE_1,Column_826,0,2018|06,NO,202101
TABLE_1,Column_826,0,2018|07,NO,202101
TABLE_1,Column_826,0,2018|08,NO,202101
TABLE_1,Column_826,0,2018|09,NO,202101
TABLE_1,Column_826,0,2018|10,NO,202101
TABLE_1,Column_826,0,2018|11,NO,202101
TABLE_1,Column_826,0,2018|12,NO,202101
TABLE_1,Column_826,0,2019|01,NO,202101
TABLE_1,Column_826,0,2019|02,NO,202101
TABLE_1,Column_826,0,2019|03,NO,202101
TABLE_1,Column_826,0,2019|04,NO,202101
TABLE_1,Column_826,0,2019|05,NO,202101
TABLE_1,Column_826,0,2019|06,NO,202101
TABLE_1,Column_826,0,2019|07,NO,202101
TABLE_1,Column_826,0,2019|08,NO,202101
TABLE_1,Column_826,0,2019|09,NO,202101
TABLE_1,Column_826,0,2019|10,NO,202101
TABLE_1,Column_826,0,2019|11,NO,202101
TABLE_1,Column_826,0,2019|12,NO,202101
TABLE_1,Column_826,0,2020|01,NO,202101
TABLE_1,Column_826,0,2020|02,NO,202101
TABLE_1,Column_826,0,2020|03,NO,202101
TABLE_1,Column_826,0,2020|04,NO,202101
TABLE_1,Column_826,0,2020|05,NO,202101
TABLE_1,Column_826,0,2020|06,NO,202101
TABLE_1,Column_826,0,2020|07,NO,202101
TABLE_1,Column_826,0,2020|08,NO,202101
TABLE_1,Column_826,0,2020|09,NO,202101
TABLE_1,Column_826,0,2020|10,NO,202101
TABLE_1,Column_826,0,2020|11,NO,202101
TABLE_1,Column_826,0,2015|10,NA,202012
TABLE_1,Column_826,0,2015|11,NA,202012
TABLE_1,Column_826,0,2015|12,NA,202012
TABLE_1,Column_826,0,2016|01,NA,202012
TABLE_1,Column_826,0,2016|02,NA,202012
TABLE_1,Column_826,0,2016|03,NA,202012
TABLE_1,Column_826,0,2016|04,NA,202012
TABLE_1,Column_826,0,2016|05,NA,202012
TABLE_1,Column_826,0,2016|06,NA,202012
TABLE_1,Column_826,0,2016|07,NA,202012
TABLE_1,Column_826,0,2016|08,NA,202012
TABLE_1,Column_826,0,2016|09,NA,202012
TABLE_1,Column_826,0,2016|10,NA,202012
TABLE_1,Column_826,0,2016|11,NA,202012
TABLE_1,Column_826,0,2016|12,NA,202012
TABLE_1,Column_826,0,2017|01,NA,202012
TABLE_1,Column_826,0,2017|02,NA,202012
TABLE_1,Column_826,0,2017|03,NA,202012
TABLE_1,Column_826,0,2017|04,NA,202012
TABLE_1,Column_826,0,2017|05,NA,202012
TABLE_1,Column_826,0,2017|06,NA,202012
TABLE_1,Column_826,0,2017|07,NA,202012
TABLE_1,Column_826,0,2017|08,NA,202012
TABLE_1,Column_826,0,2017|09,NA,202012
TABLE_1,Column_826,0,2017|10,NA,202012
TABLE_1,Column_826,0,2017|11,NA,202012
TABLE_1,Column_826,0,2017|12,NA,202012
TABLE_1,Column_826,0,2018|01,NA,202012
TABLE_1,Column_826,0,2018|02,NA,202012
TABLE_1,Column_826,0,2018|03,NA,202012
TABLE_1,Column_826,0,2018|04,NA,202012
TABLE_1,Column_826,0,2018|05,NA,202012
TABLE_1,Column_826,0,2018|06,NA,202012
TABLE_1,Column_826,0,2018|07,NA,202012
TABLE_1,Column_826,0,2018|08,NA,202012
TABLE_1,Column_826,0,2018|09,NA,202012
TABLE_1,Column_826,0,2018|10,NA,202012
TABLE_1,Column_826,0,2018|11,NA,202012
TABLE_1,Column_826,0,2018|12,NA,202012
TABLE_1,Column_826,0,2019|01,NA,202012
TABLE_1,Column_826,0,2019|02,NA,202012
TABLE_1,Column_826,0,2019|03,NA,202012
TABLE_1,Column_826,0,2019|04,NA,202012
TABLE_1,Column_826,0,2019|05,NA,202012
TABLE_1,Column_826,0,2019|06,NA,202012
TABLE_1,Column_826,0,2019|07,NA,202012
TABLE_1,Column_826,0,2019|08,NA,202012
TABLE_1,Column_826,0,2019|09,NA,202012
TABLE_1,Column_826,0,2019|10,NA,202012
TABLE_1,Column_826,0,2019|11,NA,202012
TABLE_1,Column_826,0,2019|12,NA,202012
TABLE_1,Column_826,0,2020|01,NA,202012
TABLE_1,Column_826,0,2020|02,NA,202012
TABLE_1,Column_826,0,2020|03,NA,202012
TABLE_1,Column_826,0,2020|04,NA,202012
TABLE_1,Column_826,0,2020|05,NA,202012
TABLE_1,Column_826,0,2020|06,NA,202012
TABLE_1,Column_826,0,2020|07,NA,202012
TABLE_1,Column_826,0,2020|08,NA,202012
TABLE_1,Column_826,0,2020|09,NA,202012
TABLE_1,Column_826,0,2020|10,NA,202012
TABLE_1,Column_826,0,2015|09,NA,202011
TABLE_1,Column_826,0,2015|10,NA,202011
TABLE_1,Column_826,0,2015|11,NA,202011
TABLE_1,Column_826,0,2015|12,NA,202011
TABLE_1,Column_826,0,2016|01,NA,202011
TABLE_1,Column_826,0,2016|02,NA,202011
TABLE_1,Column_826,0,2016|03,NA,202011
TABLE_1,Column_826,0,2016|04,NA,202011
TABLE_1,Column_826,0,2016|05,NA,202011
TABLE_1,Column_826,0,2016|06,NA,202011
TABLE_1,Column_826,0,2016|07,NA,202011
TABLE_1,Column_826,0,2016|08,NA,202011
TABLE_1,Column_826,0,2016|09,NA,202011
TABLE_1,Column_826,0,2016|10,NA,202011
TABLE_1,Column_826,0,2016|11,NA,202011
TABLE_1,Column_826,0,2016|12,NA,202011
TABLE_1,Column_826,0,2017|01,NA,202011
TABLE_1,Column_826,0,2017|02,NA,202011
TABLE_1,Column_826,0,2017|03,NA,202011
TABLE_1,Column_826,0,2017|04,NA,202011
TABLE_1,Column_826,0,2017|05,NA,202011
TABLE_1,Column_826,0,2017|06,NA,202011
TABLE_1,Column_826,0,2017|07,NA,202011
